id,ra_deg,dec_deg,magnitude,names
star/j101648-611948,154.2,-61.33,3.39,
star/j221048+581200,332.7,58.2,3.39,
star/j042848+155212,67.2,15.87,3.4,
star/j171012-154348-2,257.55,-15.73,3.4,
star/j134948-414124,207.45,-41.69,3.41,
star/j012812-431912,22.050001,-43.32,3.41,
star/j151200-520600,228.0,-52.1,3.41,
star/j040036+122924,60.15,12.49,3.41,
star/j224124+104948,340.35,10.83,3.41,
star/j015248+293448,28.2,29.58,3.42,
star/j204500-661200,311.25,-66.2,3.42,
star/j174612+274312,266.55002,27.72,3.42,
star/j160000-382400,240.0,-38.4,3.42,
star/j091048-585812,137.70001,-58.97,3.43,
star/j101648+232512,154.2,23.42,3.43,
star/j190600-045248,286.5,-4.88,3.43,
star/j204500+615024,311.25,61.84,3.43,
star/j010824-101048,17.1,-10.18,3.45,
star/j101648+425436,154.2,42.91,3.45,
star/j004912+574912,12.3,57.82,3.45,
star/j075700-525848,119.25,-52.98,3.46,
star/j151536+331912,228.90001,33.32,3.46,
star/j124124-012700,190.34999,-1.45,3.46,
star/j134948-422812,207.45,-42.47,3.47,
star/j164236+385512,250.65,38.92,3.48,
star/j224836-511912,342.15,-51.32,3.48,
star/j100712+164536,151.8,16.76,3.48,
star/j224948+243600,342.45,24.6,3.48,
star/j111836+330524,169.65001,33.09,3.49,
star/j070148-275548,105.450005,-27.93,3.49,
star/j150148+402324,225.45,40.39,3.49,
star/j014348-155624,25.95,-15.94,3.49,
star/j182700-455812,276.75,-45.97,3.49,
star/j224948+661200,342.45,66.2,3.5,
star/j064948-323036,102.45,-32.51,3.5,
star/j195848+192924,299.69998,19.49,3.51,
star/j185736-210636,284.4,-21.11,3.52,
star/j124124-012700-2,190.34999,-1.45,3.52,
star/j184948+332136,282.45,33.36,3.52,
star/j095700-543412,149.25,-54.57,3.52,
star/j094124+095324,145.34999,9.89,3.52,
star/j034312-094612,55.8,-9.77,3.53,
star/j042848+191048,67.2,19.18,3.53,
star/j072024+215848,110.100006,21.98,3.53,
star/j221012+061200,332.55,6.2,3.53,
star/j081648+091124,124.2,9.19,3.53,
star/j173748-152400,264.44998,-15.4,3.54,
star/j154948-032548,237.45,-3.43,3.54,
star/j113300-315136,173.25,-31.86,3.54,
star/j054648-144912,86.700005,-14.82,3.55,
star/j041800-334800,64.5,-33.8,3.55,
star/j141912-460336,214.79999,-46.06,3.55,
star/j001912-084912,4.7999997,-8.82,3.56,
star/j165212-380112,253.05002,-38.02,3.56,
star/j021648-513036,34.2,-51.51,3.56,
star/j024312+031424,40.8,3.24,3.56,
star/j111912-144648,169.79999,-14.78,3.56,
star/j200824-661048,302.09998,-66.18,3.56,
star/j152136-361536,230.4,-36.26,3.57,
star/j143148+302212,217.95,30.37,3.57,
star/j090336+470936,135.90001,47.16,3.57,
star/j182100+724348,275.25,72.73,3.57,
star/j074424+242400,116.1,24.4,3.57,
star/j201800-123224,304.5,-12.54,3.58,
star/j054424-222700,86.1,-22.45,3.58,
star/j071800+163224,109.5,16.54,3.58,
star/j013748+483748,24.45,48.63,3.59,
star/j051724-065024,79.35,-6.84,3.59,
star/j122136-602400,185.4,-60.4,3.59,
star/j173112-604048,262.80002,-60.68,3.6,
star/j084012-525512,130.05,-52.92,3.6,
star/j065248+335736,103.200005,33.96,3.6,
star/j012400-081048,21.0,-8.18,3.6,
star/j153712-280824,234.3,-28.14,3.6,
star/j174536-644312,266.4,-64.72,3.61,
star/j130224-713300,195.6,-71.55,3.61,
star/j101048-122100,152.70001,-12.35,3.61,
star/j032436+090148,51.15,9.03,3.61,
star/j024948+271536,42.449997,27.26,3.61,
star/j115024+014612,177.6,1.77,3.61,
star/j034912+240300,57.3,24.05,3.62,
star/j013112+152100,22.8,15.35,3.62,
star/j074500-375812,116.25,-37.97,3.62,
star/j165436-422136,253.65,-42.36,3.62,
star/j230148+421948,345.45,42.33,3.62,
star/j114536-664348,176.40001,-66.73,3.63,
star/j203748+143600,309.44998,14.6,3.64,
star/j154612+152512,236.55,15.42,3.65,
star/j180636-500524,271.65002,-50.09,3.65,
star/j222848-000112,337.19998,-0.02,3.65,
star/j041948+153748,64.95,15.63,3.65,
star/j152736+290636,231.9,29.11,3.66,
star/j153824-294648,234.6,-29.78,3.66,
star/j093148+630336,142.95,63.06,3.67,
star/j140412+642248,211.04999,64.38,3.67,
star/j205436-582700,313.65,-58.45,3.67,
star/j045100+053636,72.75,5.61,3.68,
star/j230936-211012,347.4,-21.17,3.68,
star/j084348-331124,130.95,-33.19,3.68,
star/j214012-163936,325.05,-16.66,3.68,
star/j194724+183148,296.85,18.53,3.68,
star/j050224+410448,75.6,41.08,3.69,
star/j114612+474648,176.55,47.78,3.69,
star/j094500-623036,146.25,-62.51,3.69,
star/j003712+535400,9.3,53.9,3.69,
star/j031948-214536,49.949997,-21.76,3.7,
star/j175736+291500,269.4,29.25,3.7,
star/j231724+031648,349.35,3.28,3.7,
star/j015548-513636,28.949999,-51.61,3.7,
star/j155100+042848,237.75,4.48,3.71,
star/j045400+022624,73.5,2.44,3.71,
star/j075212-403448,118.049995,-40.58,3.71,
star/j034500+240636,56.25,24.11,3.72,
star/j195512+062436,298.8,6.41,3.72,
star/j055924+541648,89.85,54.28,3.72,
star/j055624-141012,89.1,-14.17,3.72,
star/j210448+435548,316.2,43.93,3.72,
star/j180712+093336,271.80002,9.56,3.73,
star/j175324+565212,268.34998,56.87,3.73,
star/j225248-073448,343.19998,-7.58,3.73,
star/j032700+094348,51.75,9.73,3.73,
star/j144612+015324,221.55,1.89,3.73,
star/j033300-092736,53.25,-9.46,3.73,
star/j162212+190900,245.55002,19.15,3.74,
star/j015136-101948,27.9,-10.33,3.74,
star/j090412-470600,136.04999,-47.1,3.75,
star/j214124-772324,325.35,-77.39,3.75,
star/j174800+024236,267.0,2.71,3.75,
star/j053336-622924,83.4,-62.49,3.76,
star/j055136-205248,87.9,-20.88,3.76,
star/j082548-660824,126.450005,-66.14,3.76,
star/j062848-070148,97.2,-7.03,3.76,
star/j223112+501648,337.80002,50.28,3.76,
star/j220712+252100,331.80002,25.35,3.76,
star/j193000+514348,292.5,51.73,3.76,
star/j053900-023600,84.75,-2.6,3.77,
star/j025024+555400,42.6,55.9,3.77,
star/j164948-590224,252.45,-59.04,3.77,
star/j190448-214424,286.2,-21.74,3.77,
star/j034500+423448,56.25,42.58,3.77,
star/j212624-222436,321.6,-22.41,3.77,
star/j084048-463900,130.20001,-46.65,3.77,
star/j203936+155436,309.9,15.91,3.77,
star/j042248+173224,65.700005,17.54,3.77,
star/j144124+134348,220.34999,13.73,3.78,
star/j105324-585100,163.35,-58.85,3.78,
star/j072548+274800,111.45,27.8,3.78,
star/j095100+590224,147.75,59.04,3.78,
star/j204724-093000,311.85,-9.5,3.78,
star/j070900-703000,107.25,-70.5,3.78,
star/j105324+341312,163.35,34.22,3.79,
star/j030936+445136,47.4,44.86,3.79,
star/j201348+464424,303.44998,46.74,3.8,
star/j153448+103224,233.7,10.54,3.8,
star/j073900-264800,114.75,-26.8,3.8,
star/j191724+532212,289.35,53.37,3.8,
star/j043524-303336,68.850006,-30.56,3.81,
star/j102736-584424,156.9,-58.74,3.81,
star/j154236+261800,235.65,26.3,3.81,
star/j233748+462736,354.44998,46.46,3.82,
star/j211500+380224,318.75,38.04,3.82,
star/j173936+460036,264.9,46.01,3.82,
star/j163112+015848,247.8,1.98,3.82,
star/j020148+024536,30.449999,2.76,3.82,
star/j113112+691948,172.8,69.33,3.82,
star/j091836+364800,139.65001,36.8,3.82,
star/j102548-165024,156.45001,-16.84,3.83,
star/j144800-790224,222.0,-79.04,3.83,
star/j135812-420600,209.55,-42.1,3.83,
star/j042848+155736,67.2,15.96,3.84,
star/j034424+321724,56.1,32.29,3.84,
star/j103712-481348,159.3,-48.23,3.84,
star/j222136-012324,335.40002,-1.39,3.84,
star/j103300+091836,158.25,9.31,3.84,
star/j180748+284536,271.94998,28.76,3.84,
star/j123224-720748,188.1,-72.13,3.84,
star/j085512-603824,133.8,-60.64,3.84,
star/j181348-210336,273.44998,-21.06,3.84,
star/j194800+701612,297.0,70.27,3.84,
star/j182324+214612,275.84998,21.77,3.85,
star/j123336+694724,188.40001,69.79,3.85,
star/j062212-332624,95.549995,-33.44,3.85,
star/j183524-081424,278.85,-8.24,3.85,
star/j041348-421724,63.45,-42.29,3.85,
star/j034424-644836,56.1,-64.81,3.85,
star/j101500-420712,153.75,-42.12,3.85,
star/j155624+153936,239.09999,15.66,3.85,
star/j054724-510412,86.85,-51.07,3.85,
star/j123748-483224,189.45,-48.54,3.85,
star/j053112-352812,82.8,-35.47,3.86,
star/j161536-634124,243.90001,-63.69,3.86,
star/j005700+383000,14.25,38.5,3.86,
star/j175624+371500,269.1,37.25,3.86,
star/j135848-444800,209.7,-44.8,3.87,
star/j155700-291236,239.25,-29.21,3.87,
star/j034536+242212,56.4,24.37,3.87,
star/j084612-460224,131.55,-46.04,3.87,
star/j195212+010036,298.05002,1.01,3.87,
star/j015324+191724,28.35,19.29,3.88,
star/j095248+260036,148.2,26.01,3.88,
star/j144312-053936,220.8,-5.66,3.88,
star/j231012-451500,347.55,-45.25,3.88,
star/j151200-484424,228.0,-48.74,3.88,
star/j000936-454500,2.3999999,-45.75,3.88,
star/j121948-004012,184.95,-0.67,3.89,
star/j163336-785400,248.4,-78.9,3.89,
star/j065400-241048,103.5,-24.18,3.89,
star/j091424+021912,138.59999,2.32,3.89,
star/j025624-085400,44.100002,-8.9,3.89,
star/j195624+350448,299.1,35.08,3.89,
star/j133112-392436,202.8,-39.41,3.9,
star/j153524-144724,233.85,-14.79,3.9,
star/j093936-010824,144.9,-1.14,3.9,
star/j112100-542924,170.25,-54.49,3.9,
star/j161948+461836,244.95,46.31,3.91,
star/j082548-035436,126.450005,-3.91,3.91,
star/j122812-501348,187.05,-50.23,3.91,
star/j043824-141800,69.6,-14.3,3.91,
star/j040300+055924,60.750004,5.99,3.91,
star/j150524-470300,226.35,-47.05,3.91,
star/j170000+305548,255.0,30.93,3.92,
star/j211536+051500,318.9,5.25,3.92,
star/j074200-723636,115.5,-72.61,3.93,
star/j110824-585848,167.1,-58.98,3.93,
star/j025400+524536,43.5,52.76,3.93,
star/j013112-490412,22.8,-49.07,3.93,
star/j192136-175100,290.40002,-17.85,3.93,
star/j043636-032100,69.15,-3.35,3.93,
star/j180036+025548,270.15,2.93,3.93,
star/j160636-204012,241.65001,-20.67,3.93,
star/j084424+180900,131.09999,18.15,3.94,
star/j002624-434048,6.6,-43.68,3.94,
star/j074348-285700,115.95,-28.95,3.94,
